Project_Name,Owner,Developer,Address,Zip_Code,Council_District,Kirwan_Opportunity_Index,Distance_to_Bus_Stop,Total_Units,Total_Affordable_Units,Unit_Type,Program,Housing_Type,Status,Affordability_Start_Date,Affordability_Period,Affordability_Expiration_Date,Certification_Date,C._of_O._Date,Required_Amount_of_Fee_in_Lieu,Date_Fee_in_Lieu_Received,Market_Rate_Units,City_Funded_Amount,%_of_Funds_Leveraged,CLT,DDB,RNY,MDA,NBG,PUDDA,SMART,TOD,UNO,VMU,Location
Legacy Apartments,Mary Lee Community,Mary Lee Foundation,1340 Lamar Square Drive,78704,5,Very High,1/4 Mile,40,40,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,8/19/13 0:00,99,8/19/12 0:00,9/24/10,8/16/13,,,0,"$2,001,710.00 ",0%,No,No,No,No,No,No,Yes,No,No,No,"(30.2547309646977, -97.7642027614895)"
Guadalupe Court Apartments,NMF VI,Austin Travis County Integral Care,6607 Guadalupe Street,78752,4,Low,1/4 Mile,15,15,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,5/18/06 0:00,10,5/18/16 0:00,,,,,0,"$180,000.00 ",167.78%,No,No,No,No,No,No,No,No,No,No,"(30.332539118709199, -97.717693669323793)"
Benjamin Todd Apartments,NMF VII,Austin Travis County Integral Care,1507 W 39th 1/2 Street,78756,10,Low,1/4 Mile,21,21,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,7/26/06 0:00,10,7/26/16 0:00,,,,,0,"$250,000.00 ",660.06%,No,No,No,No,No,No,No,No,No,No,"(30.309299430208501, -97.7470630801851)"
City View at the Park,"Parker Lane Senior Apartments, L.P.","Parker Lane Senior Apartments, L.P.",2000 Woodward Street,78741,3,Very Low,Neither,70,68,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,12/20/11 0:00,20,12/20/31 0:00,,,,,0,"$299,000.00 ",2185.63%,No,No,No,No,No,No,No,No,No,No,"(30.2184855516517, -97.743421327255405)"
Lyons Gardens,"Rosewood I Senior Housing Community, Inc.","DMA Development Company, LLC",2720 Lyons Road,78702,3,Very Low,1/4 Mile,54,53,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,4/29/03 0:00,20,4/29/23 0:00,,,,,1,"$800,000.00 ",599%,No,No,No,No,No,No,No,No,No,No,"(30.264579341054102, -97.709189342292206)"
Marshall Apartments,"Marshall Affordable Partners, Ltd.","Marshall Affordable Partners, Ltd.",1401 E 12th Street,78702,1,Very Low,1/4 Mile,100,100,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,8/9/11 0:00,99,8/9/10 0:00,,,,,0,"$2,500,000.00 ",369.56%,No,No,No,No,No,No,No,No,No,No,"(30.272703760757398, -97.724830493911099)"
Elm Ridge Apartments,"Elm Ridge Affordable Partners, Ltd.","Elm Ridge Affordable Partners, Ltd.",1161 Harvey Street,78702,1,Very Low,1/4 Mile,130,130,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,2/17/10 0:00,99,2/17/09 0:00,,,,,0,"$2,500,000.00 ",299.56%,No,No,No,No,No,No,No,No,No,No,"(30.274889587304799, -97.702419449934297)"
The Boulevard,UCP Austin Housing I,Easter Seals of Central Texas,1201 Grove Boulevard,78741,3,Very Low,Neither,6,6,Multifamily,RHDA,Rental,Affordability Period Expired,10/28/05 0:00,10,10/28/15 0:00,,,,,0,"$181,717.00 ",228.46%,No,No,No,No,No,No,No,No,No,No,"(30.234191480345601, -97.704022527277104)"
Allandale Condos,UCP Austin Housing II,Easter Seals of Central Texas,7685 Northcross Drive,78757,7,Very Low,Neither,10,10,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,11/26/07 0:00,40,11/26/47 0:00,,,,,0,"$500,000.00 ",0%,No,No,No,No,No,No,No,No,No,No,"(30.354219381647301, -97.735693646242595)"
Saint Louise House II,VinCare Services of Austin Foundation,VinCare Services of Austin Foundation,Undisclosed,78745,5,Very Low,1/4 Mile,22,22,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,5/28/08 0:00,99,5/28/07 0:00,,,,,0,"$1,765,294.00 ",105.84%,No,No,No,No,No,No,No,No,No,No,"(30.210936383651902, -97.803931496191893)"
Manor House,Volunteers of America - Texas,Volunteers of America - Texas,5905 Manor Road,78723,1,Very Low,1/4 Mile,11,11,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,8/24/01 0:00,20,8/24/21 0:00,,,,,0,"$260,960.00 ",278.70%,No,No,No,No,No,No,Yes,No,No,No,"(30.306600379559299, -97.679408608741696)"
Oak Springs Villas,Oak Springs Villas,Volunteers of America - Texas,3001 Oak Springs Drive,78702,3,Very Low,1/4 Mile,56,56,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,5/15/03 0:00,20,5/15/23 0:00,,,,,0,"$466,715.00 ",789.07%,No,No,No,No,No,No,No,No,No,No,"(30.272699133730601, -97.701260651230399)"
Spring Terrace Apartments,Spring Terrace Housing Corporation,"Foundation Communities, Inc.",7101 N IH-35,78752,4,Very Low,Neither,140,140,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,12/20/05 0:00,99,12/20/04 0:00,,,,,0,"$1,079,292.00 ",0%,No,No,No,No,No,No,No,No,No,No,"(30.331490713863602, -97.703180006529905)"
1100 E 10th Street,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1100 E 10th Street,78702,1,Very Low,1/4 Mile,1,1,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,2/27/01 0:00,20,2/27/21 0:00,,,,,0,"$25,000.00 ",963.60%,No,No,No,No,No,No,No,No,No,No,"(30.268439068383302, -97.7293401878146)"
1112 E 10th Street,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1112 E 10th Street,78702,1,Very Low,1/4 Mile,1,1,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,2/27/01 0:00,20,2/27/21 0:00,,,,,0,"$25,000.00 ",0%,No,No,No,No,No,No,No,No,No,No,"(30.2682052936843, -97.7282647529115)"
1002 Navasota,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1002 Navasota,78702,1,Very Low,1/4 Mile,1,1,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,2/27/01 0:00,20,2/27/21 0:00,,,,,0,"$25,000.00 ",0%,No,No,No,No,No,No,No,No,No,No,"(30.267718565942602, -97.726720428637407)"
1007 Waller Street,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1007 Waller Street,78702,1,Very Low,1/4 Mile,1,1,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,2/27/01 0:00,20,2/27/21 0:00,,,,,0,"$25,000.00 ",0%,No,No,No,No,No,No,No,No,No,No,"(30.2686462542793, -97.729282096432897)"
110 Chicon Street,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,110 Chicon Street,78702,3,Very Low,1/4 Mile,2,2,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,3/31/03 0:00,20,3/31/23 0:00,,,,,0,"$65,000.00 ",100%,No,No,No,No,No,No,No,No,No,No,"(30.257945181452101, -97.724533291876298)"
La Vista de Guadalupe,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,813 E 8th Street,78702,1,Very Low,1/4 Mile,22,22,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,8/20/08 0:00,40,8/27/47 0:00,,,,,0,"$2,138,239.00 ",200.62%,No,No,No,No,No,No,No,No,No,No,"(30.267118976130799, -97.733007217926399)"
SOL,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,5908 Ventus Street,78721,3,Very Low,1/4 Mile,1,1,Single Family,RHDA,Rental,Building Permit Issued / Project Underway,11/11/09 0:00,40,11/11/49 0:00,,,,,0,"$160,687.50 ",228.69%,No,No,No,No,No,No,Yes,No,No,No,"(30.258642116622301, -97.684788596693707)"
SOL,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,5921 Ventus Street,78721,3,Very Low,1/4 Mile,1,1,Single Family,RHDA,Rental,Building Permit Issued / Project Underway,11/11/09 0:00,40,11/11/49 0:00,,,,,0,"$160,687.50 ",0%,No,No,No,No,No,No,Yes,No,No,No,"(30.2581281793287, -97.684659426900893)"
SOL,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,5916 Lux Street,78721,3,Very Low,1/4 Mile,1,1,Single Family,RHDA,Rental,Building Permit Issued / Project Underway,11/11/09 0:00,40,11/11/49 0:00,,,,,0,"$160,687.50 ",0%,No,No,No,No,No,No,Yes,No,No,No,"(30.259133156249199, -97.684190706618196)"
SOL,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,5929 Lux Street,78721,3,Very Low,1/4 Mile,1,1,Single Family,RHDA,Rental,Building Permit Issued / Project Underway,11/11/09 0:00,40,11/11/49 0:00,,,,,0,"$160,687.50 ",0%,No,No,No,No,No,No,Yes,No,No,No,"(30.258630468790599, -97.684129443252999)"
SOL,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1129 Altum Street,78702,1,Very Low,1/4 Mile,2,2,Duplex,RHDA,Rental,Building Permit Issued / Project Underway,11/11/09 0:00,40,11/11/49 0:00,,,,,0,"$160,687.50 ",0%,No,No,No,No,No,No,Yes,No,No,No,"(30.2703971161874, -97.717319818588706)"
SOL,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1133 Altum Street,78702,1,Very Low,1/4 Mile,2,2,Duplex,RHDA,Rental,Building Permit Issued / Project Underway,11/11/09 0:00,40,11/11/49 0:00,,,,,0,"$160,687.50 ",0%,No,No,No,No,No,No,Yes,No,No,No,"(30.2703971161874, -97.717319818588706)"
7314 Meador Avenue,Neighborhood Housing Services of Austin,Neighborhood Housing Services of Austin,7314 Meador Avenue,78752,4,Very Low,1/4 Mile,2,2,Duplex,RHDA,Rental,Project Complete / Final C.of O. Received,10/16/12 0:00,20,10/16/32 0:00,,,,,0,"$231,250.00 ",0%,No,No,No,No,No,No,No,No,No,No,"(30.331487152648101, -97.695256354234999)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/25/11 0:00,10,10/25/21 0:00,11/24/03,,,,0,"$2,484,534.00 ",0%,No,No,No,No,No,No,Yes,No,No,No,"(30.293499983426699, -97.648344480400098)"
Watersedge PUD,"MAK Marshall Ranch, L.P.","MAK Marshall Ranch, L.P.",,,,,Neither,2000,600,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,0,,2/15/05,,,,1400,$0.00 ,,No,No,No,No,No,Yes,Yes,No,No,No,
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,11/16/11 0:00,10,11/16/21 0:00,11/24/03,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.294871761634699, -97.647121885984305)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,1/19/12 0:00,10,1/19/22 0:00,11/24/03,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.292995476370699, -97.648366755814806)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/3/13 0:00,10,10/3/23 0:00,11/24/03,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.2938823456861, -97.647793200222395)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/14/13 0:00,10,10/14/23 0:00,11/24/03,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.294578502259899, -97.647311626621004)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/7/13 0:00,10,10/7/23 0:00,11/24/03,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.294298225375002, -97.648054011145902)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/7/13 0:00,10,10/7/23 0:00,11/24/03,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.296688858328601, -97.647017650790701)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/17/13 0:00,10,10/17/23 0:00,11/24/03,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.2947206090744, -97.647873073132104)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,12/19/13 0:00,10,12/19/23 0:00,11/24/03,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.294659987279399, -97.646467453491894)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,12/19/13 0:00,10,12/19/23 0:00,11/24/03,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.2965722986396, -97.647095188865094)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,12/19/13 0:00,10,12/19/23 0:00,11/24/03,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.293577155769199, -97.647925521773999)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,1/19/14 0:00,10,1/19/24 0:00,11/24/03,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.2960546507591, -97.647002276853897)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,2/20/14 0:00,10,2/20/24 0:00,11/24/03,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.293766329921102, -97.648238025933907)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,2/24/14 0:00,10,2/24/24 0:00,11/24/03,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.296841985475002, -97.646976241666493)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,3/4/14 0:00,10,3/4/24 0:00,11/24/03,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.293901389541201, -97.648188850424404)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,3/5/14 0:00,10,3/5/24 0:00,11/24/03,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.294433717646999, -97.648025487936295)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,3/19/14 0:00,10,3/19/24 0:00,11/24/03,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.293449069244399, -97.647966199580594)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,3/26/14 0:00,10,3/26/24 0:00,11/24/03,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.29644159027, -97.647181361305002)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,5/27/14 0:00,10,5/27/24 0:00,11/24/13,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.296276504270701, -97.64682279246)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,5/28/14 0:00,10,5/28/24 0:00,11/24/03,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.2940333084006, -97.648160426939199)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,5/28/14 0:00,10,5/28/24 0:00,11/24/03,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.293862187431301, -97.647240757265706)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,6/19/14 0:00,10,6/19/24 0:00,11/24/03,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.294166507240501, -97.648090701533604)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/9/12 0:00,10,10/9/22 0:00,11/24/03,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.293216578636802, -97.648492674627803)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,11/2/12 0:00,10,11/2/22 0:00,11/24/03,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.293387341456199, -97.648438386307305)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,11/9/12 0:00,10,11/9/22 0:00,11/24/03,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.293278306624298, -97.648020488771095)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,11/1/12 0:00,10,11/1/22 0:00,11/24/03,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.293635188799101, -97.648303573338595)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,2/27/12 0:00,10,2/27/22 0:00,11/24/03,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.293697807740902, -97.647872626536895)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,2/14/12 0:00,10,2/14/22 0:00,11/24/03,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.2959238561481, -97.647084330999604)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,8/30/12 0:00,10,8/30/22 0:00,11/24/03,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.296167004602101, -97.646895981860098)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,8/31/12 0:00,10,8/31/22 0:00,11/24/03,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.296407385036101, -97.646744855638403)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,7/20/12 0:00,10,7/20/22 0:00,11/24/03,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.296534318877502, -97.646650515235095)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,7/31/12 0:00,10,7/31/22 0:00,11/24/03,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.296662059050298, -97.646593330749795)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,4/18/12 0:00,10,4/18/22 0:00,11/24/03,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.294214344623299, -97.647639530394102)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,1/11/12 0:00,10,1/11/22 0:00,11/24/03,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.294922218022201, -97.647479519768098)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,2/14/12 0:00,10,2/14/22 0:00,11/24/03,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.294578618116901, -97.647489081654399)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,6/21/12 0:00,10,6/21/22 0:00,11/24/03,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.2941961342122, -97.647454339010295)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,2/27/12 0:00,10,2/27/22 0:00,11/24/03,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.294150085913, -97.647307036686996)"
